dom1     dom2     Meff                DCA_score
PF03354  PF04860  203.28908669446525  .07333347200430008
PF02669  PF03814  320.6236915456105   .3667157842539563
PF02424  PF04205  457.6270133101557   .16638408768539725
PF00950  PF01297  480.4522127019423   .18134822175164894
PF04865  PF04965  240.5034924710052   .12362763458444764
PF02669  PF02702  386.368932319689    .1998992568430452
PF02702  PF03814  285.44674159865707  .16585224395695017
PF05930  PF13356  466.4878175326217   .21480536414886903
PF03972  PF13714  340.14748530214945  .10077197427662596
PF02614  PF03786  272.8342554270813   .12474304626834577
PF04293  PF06798  87.48547359864827   .10373482448528097
PF04293  PF08298  92.2474359298128    .11013510485911812
PF01924  PF07503  315.0841649010283   .14625626237073378
PF00393  PF02781  367.2120213002438   .11701448148333687
PF00393  PF00479  260.6187783281705   .11973025160335167
PF04285  PF04293  65.13824775254814   .1168692078834051
PF06508  PF14489  259.401003475052    .18933525753381225
PF09344  PF09481  126.5895318733554   .07451286021902725
PF04965  PF05638  157.38565561088902  .142720051790035
PF09344  PF09485  147.0777888777889   .12466977884570993
PF01729  PF02445  467.5813792871291   .14992823194658628
PF04865  PF10076  148.4694194694195   .16517066773349093
PF02601  PF02609  784.7577820832827   .21698114582975647
PF08798  PF09481  124.2575295619413   .07588503386422515
PF01455  PF07503  407.8337758248409   .2654389321902678
PF00374  PF01924  138.83913857275712  .10174937631975567
PF08798  PF09485  125.12941036861314  .10180259408794795
PF02445  PF02749  448.747978065555    .16986029485165516
PF01242  PF06508  335.01362972638594  .13706710277522186
PF02609  PF13742  615.725540602599    .20521352367277962
PF06750  PF07963  680.9420475984343   .2564891884259795
PF03239  PF13473  150.64080055773675  .10578278391132384
PF06968  PF13500  373.54581780450076  .13073109502452013
PF03239  PF09375  171.34499787994423  .08301888074372275
PF07012  PF10614  58.70972360972361   .18480139666417628
PF05157  PF06750  496.4966238714099   .20438471693799704
PF11739  PF13617  71.10333697953662   .16946653851554777
PF00665  PF01527  503.57332868934213  .13829308442203622
PF00925  PF00926  706.081776805002    .17018605900625344
PF00374  PF07503  121.34287901438944  .1490477427403688
PF08279  PF13280  780.7298067558434   .17135588560474665
PF02617  PF03588  425.19419122848984  .22714701980535498
PF02805  PF06029  231.37702725309606  .23139827170667931
PF01750  PF01924  309.5858782177332   .14701254634070202
PF02446  PF02922  430.38547815536066  .11576909073369249
PF02254  PF02386  597.357814140785    .11149005924626967
PF02219  PF08267  308.5535990040528   .11055181197663778
PF04246  PF13375  305.41730051716286  .17950951483340485
PF02261  PF02548  519.4789742778871   .1736993729434551
PF02504  PF02660  656.7877518851888   .15716098600116843
PF01155  PF07503  411.1870602252883   .19954470973718208
PF01844  PF03354  143.53195215860552  .08316248233416348
PF05336  PF06134  73.93124578981855   .12219585823311126
PF04166  PF07005  266.81915582530337  .11293856481392614
PF02261  PF02569  678.2298444781201   .18973486758308708
PF04166  PF17042  279.1349317035402   .11853425577243137
PF04349  PF13632  177.03850316350318  .09445252495734487
PF09485  PF09707  109.7569805194805   .15937308423110044
PF00764  PF14698  249.50117228931083  .17033998324768446
PF00677  PF00885  665.8715818864634   .17684737559451394
PF01075  PF13580  449.20046431362954  .11016525336470452
PF00176  PF04434  450.02536409621973  .11832644781135926
PF00677  PF00926  801.8206842279667   .17669270648644275
PF00908  PF16363  701.5211616290791   .11930939751175176
PF09481  PF09707  78.07057387057385   .0802466357321625
PF00885  PF00925  561.0987721089384   .16156255776422368
PF07027  PF11739  78.51971858306997   .11126866296162655
PF01750  PF07503  308.60110685528076  .20081753300726968
PF09481  PF09704  112.61248251232772  .07373191359788722
PF00885  PF00926  590.5385935036373   .21660006453229327
PF00677  PF00925  757.0527814646792   .15345300661202016
PF03773  PF13192  132.5238042936958   .12922059326250465
PF00468  PF01783  407.2110583144341   .3312136530145221
PF04228  PF05872  267.31668400025524  .11618828938638608
PF01227  PF02152  496.7763261997653   .1692687023788126
PF00370  PF16901  421.7298061185421   .12832212160477618
PF02782  PF16901  394.1715500859356   .14530583074566805
PF01924  PF14720  222.024576329132    .142953083534022
PF00444  PF00468  228.4532879657621   .31862662248639373
PF13742  PF17191  632.9888037483556   .15559976595420466
PF01326  PF03618  103.63338744570886  .12986213226533416
PF02283  PF02572  468.0797430921506   .16839389565544288
PF04973  PF13521  169.27408994650986  .11387834928424714
PF04257  PF13538  134.06336929222817  .09062781247232211
PF09485  PF09704  150.92671299288946  .131915596557719
PF00128  PF02446  351.5431820890896   .10278945002807335
PF04333  PF05494  296.6562147741011   .13667593755479723
PF04865  PF07484  168.58041398924587  .10830621385481129
PF13091  PF13396  514.5941398201657   .17115052155047533
PF02675  PF03994  132.5229474893542   .15673078670090868
PF00926  PF01872  888.5522842929865   .16676043797963572
PF02446  PF02806  405.8485257695404   .11565361406158847
PF07503  PF14720  132.63585093113463  .2865158227066596
PF02568  PF08349  128.18393360385923  .1489088350047516
PF03783  PF07012  56.72897937620518   .12237567601052787
PF03453  PF06463  752.1019391648564   .20501053903308541
PF08402  PF13343  547.2870052841922   .11886473952552391
PF01967  PF03453  859.2021910656506   .22676065569094164
PF02401  PF04551  476.39852976328535  .14032853752521857
PF00925  PF01872  780.5847070583651   .14361431611210018
PF02589  PF02652  111.01022120107075  .09742561702921582
PF01081  PF04962  232.47297116006848  .10808988744160901
PF06277  PF06751  75.93863636363636   .10439261198480129
PF01227  PF01288  671.1229304527077   .21536870866422664
PF01206  PF02635  309.5810794986987   .13155380783914955
PF01182  PF02781  563.0085116057949   .13647259924024008
PF00479  PF01182  567.3238663133684   .14011863750796855
PF00920  PF01450  380.62106999802324  .1281680000795938
PF06769  PF07927  316.4539432789434   .23817798634609777
PF00920  PF07991  390.13420595161045  .13812578395929487
PF00677  PF01872  872.3535409548193   .16412431485840884
PF03837  PF14659  106.19848484848482  .11202993474661156
PF00762  PF01208  363.36052682414646  .11336699394838473
PF02572  PF02654  535.7965946930177   .15497241770098202
PF00158  PF04963  493.0102580786197   .16948893465407427
PF00490  PF05201  568.1906706636056   .16530825575968183
PF01081  PF03786  231.93181657018627  .13239524213654816
PF02424  PF03116  485.613738310043    .13586974084062875
PF00230  PF02733  328.9328370105009   .1431572978865091
PF01139  PF01885  119.87903323358131  .10423528930973613
PF01232  PF02614  241.61668108873317  .11102548432169446
PF02604  PF02661  445.7786534794373   .13602169171968115
PF03814  PF13493  262.3572334059948   .13045893554447852
PF02446  PF08323  396.2018719188044   .09733027098653692
PF02781  PF03446  581.3598261834431   .14764947398654021
PF00479  PF03446  644.4995082245275   .15151557959057632
PF02542  PF04551  479.96399082224184  .14990850660412883
PF01242  PF14489  235.72988156971942  .16670916235524352
PF04093  PF13464  280.6999639319901   .146676591150112
PF05137  PF05157  282.18582103959665  .22377453136108225
PF00665  PF01695  312.3106190662886   .10445419647479381
PF02277  PF02572  451.6943623235345   .1292814853945239
PF03454  PF06463  528.4395504742486   .18045998926377987
PF01609  PF13817  219.24558205088394  .11459089083268693
PF02525  PF06445  496.13401294571565  .09533790758320339
PF00158  PF04552  406.27602695791495  .18736283936993697
PF03331  PF13720  430.04104100514616  .17250206840544885
PF02021  PF13335  1390.496459848305   .2495202743572844
PF04321  PF16363  730.8825655166106   .10711077932623954
PF04295  PF08125  240.55591822443327  .10094378621644823
PF02669  PF13493  324.8984905850061   .17254538278673187
PF01491  PF07743  123.80210501443239  .20277475255087007
PF02348  PF08666  414.1628046802383   .10976808950927494
PF04216  PF09106  81.27392751425259   .10794084408115917
PF01128  PF04551  579.8460911363361   .14783829495273526
PF00141  PF01906  144.48656138009437  .16207851433671644
PF00158  PF00309  298.4935165669603   .25055714878796986
PF02508  PF04246  263.84900043722536  .1718006660171031
PF01609  PF13551  129.8199909956845   .09877047937922406
PF01053  PF04204  251.382030965345    .14926715909397464
PF02684  PF03331  497.33518644040265  .11984922807093093
PF00975  PF08242  370.86179898895074  .1105892517747016
PF04471  PF13460  514.4391931450156   .12056427293776535
PF02542  PF08436  766.972012056533    .240774135531524
PF02542  PF13288  878.2356298492374   .22754890509990572
PF02614  PF08125  258.0576001711192   .10465900372048476
PF02542  PF02670  814.5544572581475   .18488811238918065
PF02652  PF11870  75.55638620531944   .10748608915356925
PF02401  PF02542  621.495512199406    .15682947378582268
PF01844  PF04860  267.10765752167873  .1089462828080416
PF02670  PF04551  451.5206209079445   .16289626517544178
PF02080  PF02386  599.859820226804    .11519661823405822
PF04551  PF08436  375.84159653890237  .18004323215985996
PF04551  PF13288  469.23511861040913  .150015178003678
PF03740  PF04166  462.0126384345966   .16646438764859903
PF02581  PF08543  842.3477593433404   .13073528356793032
PF01967  PF03454  751.0047110328723   .21022461572716705
PF03814  PF09604  103.47249226057356  .12016811023337474
PF01564  PF03994  148.9828151152234   .15350908617922215
PF02669  PF09604  157.805380442289    .21135636285723997
PF01402  PF02452  389.6229650026256   .16248721051960077
PF02446  PF11941  260.25441234169847  .1049835455873373
PF02661  PF05598  242.50475116588797  .09878058458642011
PF13518  PF13817  221.27581030081038  .21103169725115217
PF01128  PF02401  758.8652028334179   .1359389331059114
PF03239  PF04261  120.95632624524994  .09324406563804137
PF00080  PF04239  263.47777791953496  .17355779947237526
PF00444  PF01809  675.4344253696501   .26670712053221085
PF06067  PF06769  51.53935696936437   .11592545758535311
PF04216  PF09107  93.52551023324949   .11731316064435762
PF01270  PF06564  76.27788226135749   .08553326029029754
PF00145  PF02086  318.42203355009997  .07200311772145346
PF08443  PF13343  255.02300715066588  .09238778392484041
PF00078  PF01844  366.2677045756434   .11264506961506555
PF02424  PF02508  521.9242140258182   .15638560004948893
PF05137  PF06750  545.5261998476612   .20900610641758133
PF00766  PF02770  453.76331145678415  .18309540840867505
PF08502  PF10369  415.2773990154184   .1500768382985242
PF01081  PF04295  269.5004303305295   .12534262709491062
PF01906  PF02796  235.18505006740287  .22150558554653516
PF01081  PF02614  290.65006216900883  .11630149237118029
PF01012  PF02771  484.19252828558274  .13058474359939026
PF05420  PF06564  65.17484978042253   .09618730293757716
PF01555  PF02086  302.8986343417953   .08389973741878275
PF03116  PF04246  319.7477156170299   .14272808725448338
PF00939  PF02028  323.06115749585484  .09746559028899024
PF04865  PF05876  93.38436389484345   .07808444483129384
PF00490  PF01379  649.7152954481771   .1860240545983754
PF03328  PF03737  359.6954821286855   .11662016636626361
PF01139  PF04493  138.09651503875904  .10469864997595359
PF13087  PF13476  490.01796397628493  .09892545021635846
PF00441  PF01012  483.7301067834339   .1093418613068957
PF01636  PF13087  455.02933761507563  .09458948454212239
PF01642  PF01923  248.07552010394926  .11864725505591403
PF02391  PF03453  589.6026119538294   .18072193690177982
PF00782  PF01139  135.24807770772355  .09579368131119104
PF00289  PF03255  450.6189996783571   .221957945984179
PF02401  PF02670  597.4644647993923   .15342027376266665
PF02872  PF13343  421.6964680158225   .11119881514081395
PF02401  PF08436  578.6721372637523   .19893328501247612
PF02401  PF13288  630.561345244206    .16317243802800246
PF00939  PF02447  193.3593086758458   .07818637182167587
PF00034  PF07728  278.65416354926765  .1407416161083197
PF01906  PF02652  125.5413672621723   .11126373466480685
PF01575  PF02515  862.2604131573145   .11233661109152242
PF04965  PF05593  323.64121725864663  .23152898818042997
PF02107  PF13144  284.45807279157117  .1491894111148246
PF02785  PF03255  499.80839264619505  .22455499732485434
PF01128  PF02670  964.6247981668032   .17644787101827497
PF06445  PF10415  374.603079432645    .12848417762238268
PF08666  PF13483  337.80940141876346  .13681435602699765
PF01128  PF13288  998.0591049131328   .16353457619982703
PF01128  PF08436  1039.3740418261045  .18582609043937162
PF04014  PF05016  626.9759741975361   .18046321006231686
PF08974  PF13569  64.4020202020202    .12287396431932388
PF01379  PF13241  638.1577616897886   .18509987608838718
PF01450  PF10369  299.453622780321    .21448921941539886
PF07991  PF10369  378.7156318921402   .20853977693797818
PF01885  PF08719  165.39740578056097  .17085854847513188
PF01139  PF04389  186.02783766597014  .0893420634497157
PF00809  PF01227  476.6118030404482   .14957691086918298
PF03841  PF04216  121.74684040169858  .09494247976826109
PF01928  PF06480  395.72745768483696  .1051218191199153
PF01012  PF02770  555.8264055947707   .12464830813896635
PF01235  PF02028  497.1752267688642   .11239814086493254
PF00909  PF01493  503.43519409295806  .13233680399268194
PF04060  PF04246  310.2167289336262   .181878373001728
PF01566  PF03746  264.69128144696896  .11124678169619638
PF00800  PF02153  538.8067777099661   .13345731604271016
PF02567  PF07508  280.0926178081294   .10140562691036122
PF02366  PF04138  250.9336189764086   .11117592290078818
PF13181  PF13565  305.4262506071036   .145130577756431
PF01264  PF01761  749.6699730490077   .13382324870458462
PF02606  PF04413  544.7149952386264   .12621162044583042
PF01259  PF13507  303.53623184336726  .12653638931401692
PF01609  PF13333  125.12849459146886  .11647222653654671
PF04606  PF04865  53.36315192115908   .09722890054787345
PF05690  PF08543  554.0995694844453   .14387739189296267
PF02086  PF03575  250.09848212901795  .08237820856172737
PF04239  PF13823  210.61061022311026  .2250835999806331
PF02606  PF02684  523.4394670822758   .1147309977268262
PF03473  PF06463  371.060392960296    .1458336994437765
PF02237  PF04069  138.73149999023912  .14167710273535128
PF01127  PF03969  123.90329953758109  .12139176221208883
PF04077  PF04358  165.40957518573623  .21976080080357963
PF04402  PF13458  552.8869882636441   .0832909088672037
PF01695  PF13817  141.45186607616     .15496254579019547
PF02452  PF13714  275.8966213935861   .1257308341124116
PF01661  PF04343  364.03499169937385  .15699553854566667
PF00376  PF02661  339.4803722666373   .16718674556652097
PF02366  PF11769  52.05158460820224   .189199329912794
PF00078  PF10117  122.93279472304553  .07319749521979474
PF01923  PF03308  300.75892675495857  .1590612381208168
PF01232  PF04295  205.31268718488766  .11727583351284437
PF05170  PF13502  219.20260967959663  .07579483488652171
PF02447  PF05651  107.92955670268788  .11213977972963554
PF02733  PF04198  356.1274668024559   .12196712234446914
PF01555  PF09907  96.66950307325602   .10488609128576298
PF04343  PF12464  275.4720573715931   .17203352461617313
PF00468  PF01165  271.39523638666276  .249286163130452
PF08543  PF13667  455.3448380330042   .16117264659129682
PF02350  PF13579  455.30708163389914  .1084781352109373
PF10371  PF13484  346.35656214701345  .20407805165827253
PF13591  PF13683  132.6100649350649   .15140903711998435
PF02706  PF04932  1664.977658974352   .13687693554034075
PF00809  PF02152  592.908575593568    .16200108977739355
PF12710  PF13579  738.9228389161403   .10199770025133485
PF01568  PF03453  630.3541269109744   .20081002564642075
PF00532  PF03611  148.59382619535629  .09083431665799852
PF04536  PF05661  213.74180351811947  .15071323214516608
PF00701  PF05173  690.965120464954    .13769632707105744
PF01379  PF05201  593.3364017131391   .199806964292426
PF01568  PF06463  378.1799421487889   .1691497083787709
PF02604  PF04014  550.230489073183    .16393045376399515
PF00857  PF04095  284.00562950698895  .09972494828962317
PF02796  PF08212  195.7766025641026   .20942413959329403
PF04303  PF13714  196.7468194993778   .09920546168899372
PF02615  PF05145  161.42020340770347  .10960793986360194
PF06249  PF06277  50.16666666666667   .09768966901444939
PF04434  PF05762  113.67499701718668  .12230779008673837
PF00444  PF01783  262.092007062792    .27069417035348114
PF02698  PF03747  386.97629689203984  .11188956622974845
PF01832  PF04245  121.32743960328065  .11519219161396829
PF02706  PF04230  987.2543424013272   .10741673543081415
PF01555  PF04962  185.16068602107987  .08187217771495268
PF05872  PF06078  141.59605445275625  .1185973672592077
PF09106  PF09163  66.9228965034457    .24061011413705877
PF13333  PF13683  138.44206349206348  .16999535945111488
PF00701  PF01113  760.5549319503714   .12383219477594379
