dom1     dom2     J_plm                known_interaction
PF00032  PF00033  0.9578603705313096   1
PF12002  PF16193  0.9422405242638436   1
PF00116  PF02790  0.8426646788486536   1
PF05089  PF12972  0.8369360789062696   1
PF14008  PF16656  0.7861527654380545   1
PF01431  PF05649  0.7804563860653569   1
PF10396  PF12631  0.7738964116172631   1
PF06012  PF06025  0.760504849503071    1
PF01773  PF07662  0.74619442177595     1
PF05089  PF12971  0.7329135889388662   1
PF12430  PF12537  0.7188157589824066   1
PF00115  PF00510  0.7174334069451167   1
PF12971  PF12972  0.7087039540776056   1
PF02233  PF12769  0.7082807261958792   1
PF00032  PF00115  0.7058077364446262   1
PF00115  PF00116  0.7030653003463868   1
PF08487  PF13768  0.7028995096318215   1
PF00875  PF03441  0.6699914521397217   1
PF01729  PF02749  0.6693644612500473   1
PF00033  PF00115  0.660148762628602    1
PF14744  PF14745  0.651106416890643    1
PF03962  PF07106  0.6453029052213306   1
PF01756  PF14749  0.6437258441452696   1
PF14744  PF14746  0.6369751973034119   1
PF04263  PF04265  0.6367957114169901   1
PF01658  PF07994  0.6318046910550355   1
PF02877  PF05406  0.6310737095103863   1
PF00984  PF03721  0.6283413662671087   1
PF02746  PF13378  0.625149957905976    1
PF05178  PF12936  0.6245096463824502   1
PF00591  PF02885  0.6212657302704412   1
PF02268  PF02751  0.613948628438335    1
PF01262  PF12769  0.6099511665644359   1
PF00984  PF03720  0.6080068592994037   1
PF00078  PF12009  0.6065746902792961   1
PF00510  PF02790  0.60447992994849     0
PF05833  PF11923  0.6028390333959421   1
PF00033  PF00510  0.602155128975443    1
PF14635  PF14878  0.5999616894228464   1
PF02055  PF17189  0.5956354939294879   1
PF01262  PF02233  0.5933472629428134   1
PF00033  PF00116  0.5928508435187114   0
PF00033  PF00119  0.5884171254442705   1
PF00420  PF00662  0.5831648076612379   1
PF06978  PF08170  0.5778889806374358   1
PF14745  PF14746  0.5766360697196278   1
PF00032  PF00510  0.5744297758112014   1
PF00361  PF00507  0.5735978083994628   1
PF00116  PF00510  0.5732431735125988   1
PF00420  PF00507  0.5723584424682376   1
PF12807  PF13236  0.5719834424790353   1
