#dom1	dom2	Meff	DCA_score	dom1_description	dom2_description
PF03788	PF04172	416.49175068439706	.3883714241918748	LrgA family	LrgB-like family
PF03480	PF04290	928.9038181640632	.1465228128061192	Bacterial extracellular solute-binding protein, family 7	Tripartite ATP-independent periplasmic transporters, DctQ component
PF00221	PF01175	204.84535888420126	.10790615377665957	Aromatic amino acid lyase	Urocanase
PF01420	PF04313	597.1052492922764	.11486970367021576	Type I restriction modification DNA specificity domain	Type I restriction enzyme R protein N terminus (HSDR_N)
PF02669	PF03814	320.6236915456105	.3667157842539563	K+-transporting ATPase, c chain	Potassium-transporting ATPase A subunit
PF07394	PF08811	205.98093993210102	.09803979314524347	Protein of unknown function (DUF1501)	Protein of unknown function (DUF1800)
PF02233	PF12769	238.9922809214542	.25057818320697656	NAD(P) transhydrogenase beta subunit	4TM region of pyridine nucleotide transhydrogenase, mitoch
PF09359	PF16316	217.04893590028985	.14922833759537643	VTC domain	Domain of unknown function (DUF4956)
PF02665	PF14711	143.84120493151516	.18479669738813542	Nitrate reductase gamma subunit	Respiratory nitrate reductase beta C-terminal
PF03401	PF07331	537.0523982773612	.13389918786933505	Tripartite tricarboxylate transporter family receptor	Tripartite tricarboxylate transporter TctB family
PF01970	PF03401	511.1907970475348	.15146496888416555	Tripartite tricarboxylate transporter TctA family	Tripartite tricarboxylate transporter family receptor
PF04168	PF08379	267.8654651633968	.1398619686820136	A predicted alpha-helical domain with a conserved ER motif.	Bacterial transglutaminase-like N-terminal region
PF04865	PF04984	183.61079154422092	.07758097131013772	Baseplate J-like protein	Phage tail sheath protein
PF03841	PF09107	293.51176133467806	.17739404354019975	L-seryl-tRNA selenium transferase	Elongation factor SelB, winged helix
PF02669	PF02702	386.368932319689	.1998992568430452	K+-transporting ATPase, c chain	Osmosensitive K+ channel His kinase sensor domain
PF02702	PF03814	285.44674159865707	.16585224395695017	Osmosensitive K+ channel His kinase sensor domain	Potassium-transporting ATPase A subunit
PF05107	PF09709	164.81868911102663	.08789229682941141	CRISPR-associated protein Cas7	CRISPR-associated protein (Cas_Csd1)
PF00936	PF03319	160.71342602809852	.3149419735100851	BMC domain	Ethanolamine utilisation protein EutN/carboxysome
