#dom1	dom2	phyletic_Jij	known_interaction	dom1_description	dom2_description
PF00032  PF00033  0.9578603705313096   1	Cytochrome b(C-terminal)/b6/petD	Cytochrome b/b6/petB
PF12002  PF16193  0.9422405242638436   1	MgsA AAA+ ATPase C terminal	AAA C-terminal domain
PF00116  PF02790  0.8426646788486536   1	Cytochrome C oxidase subunit II, periplasmic domain	Cytochrome C oxidase subunit II, transmembrane domain
PF05089  PF12972  0.8369360789062696   1	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
PF14008  PF16656  0.7861527654380545   1	Iron/zinc purple acid phosphatase-like protein C	Purple acid Phosphatase, N-terminal domain
PF01431  PF05649  0.7804563860653569   1	Peptidase family M13	Peptidase family M13
PF10396  PF12631  0.7738964116172631   1	GTP-binding protein TrmE N-terminus	MnmE helical domain
PF06012  PF06025  0.760504849503071    1	Domain of Unknown Function (DUF908)	Domain of Unknown Function (DUF913)
PF01773  PF07662  0.74619442177595     1	Na+ dependent nucleoside transporter N-terminus	Na+ dependent nucleoside transporter C-terminus
PF05089  PF12971  0.7329135889388662   1	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF12430  PF12537  0.7188157589824066   1	Abscisic acid G-protein coupled receptor	The Golgi pH Regulator (GPHR) Family N-terminal
PF00115  PF00510  0.7174334069451167   1	Cytochrome C and Quinol oxidase polypeptide I	Cytochrome c oxidase subunit III
PF12971  PF12972  0.7087039540776056   1	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
PF02233  PF12769  0.7082807261958792   1	NAD(P) transhydrogenase beta subunit	4TM region of pyridine nucleotide transhydrogenase, mitoch
PF00032  PF00115  0.7058077364446262   1	Cytochrome b(C-terminal)/b6/petD	Cytochrome C and Quinol oxidase polypeptide I
PF00115  PF00116  0.7030653003463868   1	Cytochrome C and Quinol oxidase polypeptide I	Cytochrome C oxidase subunit II, periplasmic domain
PF08487  PF13768  0.7028995096318215   1	Vault protein inter-alpha-trypsin domain	von Willebrand factor type A domain
PF00875  PF03441  0.6699914521397217   1	DNA photolyase	FAD binding domain of DNA photolyase
PF01729  PF02749  0.6693644612500473   1	Quinolinate phosphoribosyl transferase, C-terminal domain	Quinolinate phosphoribosyl transferase, N-terminal domain
PF00033  PF00115  0.660148762628602    1	Cytochrome b/b6/petB	Cytochrome C and Quinol oxidase polypeptide I
PF14744  PF14745  0.651106416890643    1	WASH complex subunit 7	WASH complex subunit 7, N-terminal
PF03962  PF07106  0.6453029052213306   1	Mnd1 family	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)
PF01756  PF14749  0.6437258441452696   1	Acyl-CoA oxidase	Acyl-coenzyme A oxidase N-terminal
PF14744  PF14746  0.6369751973034119   1	WASH complex subunit 7	WASH complex subunit 7, C-terminal
PF04263  PF04265  0.6367957114169901   1	Thiamin pyrophosphokinase, catalytic domain	Thiamin pyrophosphokinase, vitamin B1 binding domain
PF01658  PF07994  0.6318046910550355   1	Myo-inositol-1-phosphate synthase	Myo-inositol-1-phosphate synthase
PF02877  PF05406  0.6310737095103863   1	Poly(ADP-ribose) polymerase, regulatory domain	WGR domain
PF00984  PF03721  0.6283413662671087   1	UDP-glucose/GDP-mannose dehydrogenase family, central domain	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
