domA     domB     J_plm       known_interaction
PF02558  PF08546  1.9296      1
PF02554  PF13722  1.8775      1
PF00689  PF00690  1.8547      1
PF02550  PF13336  1.7405      1
PF01232  PF08125  1.6902      1
PF00199  PF06628  1.6872      1
PF00208  PF02812  1.6563      1
PF01654  PF02322  1.6486      1
PF03788  PF04172  1.6368      1
PF07005  PF17042  1.6022      1
PF00875  PF03441  1.5697      1
PF05681  PF05683  1.5634      1
PF01773  PF07662  1.5487      1
PF03313  PF03315  1.5346      1
PF05985  PF06751  1.5191      1
PF07804  PF07805  1.507       1
PF03591  PF05437  1.5069      1
PF01055  PF13802  1.5064      1
PF01087  PF02744  1.4989      1
PF01228  PF02901  1.4905      1
PF01915  PF14310  1.4646      1
PF07731  PF07732  1.4573      1
PF00908  PF04321  1.4493      1
PF00390  PF03949  1.4391      1
PF02626  PF02682  1.4374      1
PF01276  PF03711  1.4283      1
PF06738  PF12821  1.4234      1
PF01262  PF05222  1.4086      1
PF00056  PF02866  1.3983      1
PF09371  PF16921  1.3973      1
PF04313  PF12161  1.3942      1
PF07508  PF13408  1.3926      1
PF01420  PF12161  1.379       1
PF01385  PF07282  1.3748      1
PF03354  PF04860  1.356       0
PF02589  PF11870  1.3528      1
PF00732  PF05199  1.3391      1
PF03632  PF03636  1.3387      1
PF13549  PF13607  1.3299      1
PF01717  PF08267  1.3224      1
PF12034  PF12450  1.3192      1
PF01614  PF09339  1.3115      1
PF08348  PF13309  1.3041      1
PF02233  PF12769  1.3011      1
PF03831  PF08274  1.2965      1
PF03480  PF04290  1.2916      1
PF02669  PF03814  1.2842      0
PF02421  PF07664  1.262       1
PF07805  PF13657  1.2547      1
PF00081  PF02777  1.2485      1
PF00982  PF02358  1.2337      1
PF02746  PF13378  1.2266      1
PF07836  PF09290  1.2262      1
PF02056  PF11975  1.2259      1
PF00370  PF02782  1.222       1
PF00479  PF02781  1.2146      1
PF08497  PF11842  1.2076      1
PF07804  PF13657  1.1939      1
PF00936  PF03319  1.1868      1
PF01385  PF12323  1.1814      1
PF01325  PF02742  1.1789      1
PF02283  PF02654  1.1765      1
PF02610  PF11762  1.1754      1
PF00725  PF02737  1.1622      1
PF02424  PF04205  1.1612      0
PF14863  PF14864  1.1598      1
PF01642  PF03308  1.1579      1
PF04290  PF06808  1.1559      1
PF00455  PF08220  1.1557      1
PF02836  PF02837  1.1474      1
PF03632  PF03633  1.1473      1
PF01867  PF09704  1.1456      1
PF01074  PF09261  1.1433      1
PF02733  PF02734  1.1423      1
PF02806  PF02922  1.1415      1
PF09382  PF16124  1.1391      1
PF07927  PF15919  1.1376      1
PF00108  PF02803  1.1365      1
PF00950  PF01297  1.1316      0
PF00394  PF07731  1.1308      1
PF00668  PF00975  1.1236      1
PF02503  PF13089  1.1167      1
PF00268  PF00317  1.1128      1
PF01032  PF01497  1.1079      1
PF00766  PF01012  1.1077      1
PF03633  PF03636  1.1075      1
PF04865  PF04965  1.1019      0
PF01074  PF07748  1.0983      1
PF02665  PF14711  1.0939      1
PF01527  PF13276  1.0896      1
PF00376  PF09278  1.085       1
PF00145  PF03852  1.0845      1
PF13089  PF13090  1.0817      1
PF02503  PF13090  1.0812      1
PF04397  PF06580  1.0792      1
PF02626  PF03746  1.0779      1
PF05138  PF06243  1.0758      1
PF03480  PF06808  1.0696      1
PF01420  PF04313  1.0684      1
PF02682  PF03746  1.0634      1
PF07282  PF12323  1.0616      1
PF03180  PF09383  1.0528      1
PF03841  PF09107  1.0468      1
PF04954  PF08021  1.0442      1
PF00358  PF00367  1.0405      1
PF07748  PF09261  1.0313      1
PF03275  PF13450  1.0298      1
PF06434  PF11791  1.0222      1
PF01564  PF02675  1.0195      1
PF00984  PF03721  1.0191      1
PF00703  PF02837  1.0093      1
PF00941  PF03450  1.0066      1
PF02091  PF02092  1.0013      1
PF13538  PF13604  0.99862     1
PF00463  PF01274  0.99811     1
PF02929  PF16353  0.99218     1
PF00394  PF07732  0.99115     1
PF04234  PF05425  0.98832     1
PF00239  PF07508  0.98701     1
PF02277  PF02654  0.97808     1
PF00258  PF00667  0.97776     1
PF04471  PF14338  0.97764     1
PF02669  PF02702  0.97565     0
PF01077  PF03460  0.96281     1
PF01729  PF02749  0.96259     1
PF07848  PF08223  0.96219     1
PF01964  PF13667  0.9557      1
PF01314  PF02730  0.9551      1
PF00186  PF00303  0.95384     1
PF02702  PF03814  0.95189     0
PF02277  PF02283  0.94991     1
PF01874  PF06857  0.94929     1
PF00703  PF02836  0.94623     1
PF02625  PF13478  0.94606     1
PF00207  PF01835  0.93291     1
PF12320  PF13558  0.93073     1
PF13689  PF17152  0.92764     1
PF00984  PF03720  0.92525     1
PF00665  PF13276  0.92474     1
PF00359  PF02302  0.92281     1
PF01078  PF13335  0.92159     1
PF00883  PF02789  0.92018     1
PF01558  PF01855  0.91994     1
PF03720  PF03721  0.90889     1
PF00817  PF11799  0.90814     1
PF03755  PF08340  0.90525     1
PF06832  PF11974  0.90203     1
PF00381  PF05524  0.90095     1
PF03775  PF03776  0.898       1
PF01676  PF06415  0.89177     1
PF00207  PF07703  0.88352     1
PF01609  PF05598  0.8819      1
PF08331  PF13484  0.87815     1
PF01149  PF06831  0.8779      1
PF02492  PF07683  0.87782     1
PF07972  PF08343  0.8759      1
PF02706  PF13807  0.86898     1
PF12399  PF13458  0.86465     1
PF00107  PF08240  0.86175     1
PF10588  PF13510  0.85981     1
PF01855  PF17147  0.85907     1
PF01205  PF09186  0.85381     1
PF01420  PF02384  0.85025     1
PF02384  PF12161  0.84353     1
PF01799  PF02738  0.83853     1
PF00356  PF13377  0.83419     1
PF03562  PF06725  0.83409     1
PF00345  PF00577  0.83172     1
PF00239  PF02796  0.82901     1
PF02744  PF10509  0.82456     1
PF13636  PF17125  0.82391     1
PF01408  PF02894  0.82362     1
PF01316  PF02863  0.82122     1
PF01256  PF03853  0.82035     1
PF04552  PF04963  0.80925     1
PF01739  PF03705  0.80851     1
PF02604  PF06769  0.80593     1
PF02508  PF03116  0.80457     1
PF04221  PF15738  0.80225     1
PF01750  PF14720  0.80223     1
PF01339  PF01739  0.80139     1
PF04023  PF07664  0.79935     1
PF00441  PF02770  0.79707     1
PF01179  PF02728  0.7922      1
PF00441  PF02771  0.79182     1
PF00916  PF01740  0.791       1
PF13409  PF13410  0.78924     1
PF05861  PF06007  0.78836     1
PF09107  PF12390  0.78627     1
PF05861  PF06754  0.78218     1
PF06007  PF06754  0.78218     1
PF01835  PF07703  0.78115     1
PF05930  PF13356  0.77917     0
PF00733  PF13537  0.77896     1
PF10588  PF10589  0.77862     1
PF03100  PF16327  0.77819     1
PF03100  PF03379  0.7751      1
PF02397  PF13727  0.77412     1
PF03379  PF16327  0.77225     1
PF02421  PF04023  0.77162     1
PF05845  PF05861  0.77036     1
PF05845  PF06007  0.77036     1
PF05845  PF06754  0.76335     1
PF03972  PF13714  0.76317     0
PF02614  PF03786  0.75854     0
PF14689  PF17203  0.75761     1
PF07664  PF07670  0.75426     1
PF07881  PF07882  0.75045     1
PF01087  PF10509  0.75021     1
PF03841  PF12390  0.74995     1
PF09106  PF09107  0.74948     1
PF02613  PF14711  0.7466      1
PF00563  PF00990  0.7461      1
PF03613  PF03830  0.74602     1
PF02405  PF02470  0.74244     1
PF06798  PF08298  0.74181     1
PF14710  PF14711  0.74096     1
PF00549  PF08442  0.74061     1
PF02548  PF02569  0.73946     1
PF02601  PF13742  0.73873     1
PF01136  PF16325  0.73659     1
PF00136  PF03104  0.73633     1
PF00310  PF04898  0.73591     1
PF00198  PF00676  0.72984     1
PF01455  PF01924  0.72536     1
PF00805  PF13599  0.72355     1
PF08352  PF12911  0.72283     1
PF06545  PF11392  0.72179     1
PF02607  PF02965  0.72081     1
PF02604  PF05016  0.72061     1
PF08798  PF09344  0.72036     1
PF00871  PF01515  0.71839     1
PF02770  PF02771  0.71773     1
PF03609  PF03830  0.71759     1
PF03892  PF03927  0.71711     1
PF07703  PF11974  0.71376     1
PF13380  PF13549  0.71353     1
PF04285  PF06798  0.7125      1
PF04293  PF06798  0.71136     0
PF00499  PF00507  0.71114     1
PF01869  PF06050  0.70997     1
PF04285  PF08298  0.70965     1
PF04293  PF08298  0.70813     0
PF01924  PF07503  0.70764     0
PF01257  PF10589  0.70731     1
PF00393  PF02781  0.70668     0
PF00393  PF00479  0.70668     0
PF02568  PF02926  0.70649     1
PF07728  PF10117  0.70548     1
PF01339  PF03705  0.70511     1
PF02613  PF02665  0.70424     1
PF04285  PF04293  0.70295     0
PF06508  PF14489  0.70249     0
PF02806  PF08323  0.70226     1
PF01558  PF17147  0.6993      1
PF00941  PF01315  0.69861     1
PF00570  PF09382  0.69752     1
PF00309  PF04552  0.69724     1
PF13167  PF16360  0.69667     1
PF09344  PF09481  0.69529     0
PF03446  PF14833  0.69375     1
