dom1     dom2     J_plm               known_interaction
PF01548  PF02371  2.6187312274589543  1
PF13086  PF13087  2.303767536297964   1
PF02558  PF08546  2.162674344760055   1
PF02554  PF13722  2.078142272261818   1
PF00689  PF00690  2.0254564179459456  1
PF08495  PF10442  1.9986774603279809  1
PF02550  PF13336  1.9896099686040907  1
PF01232  PF08125  1.9418554198533882  1
PF01420  PF12161  1.9041380188907517  1
PF07804  PF07805  1.8927991252547405  1
PF00199  PF06628  1.874545494227228   1
PF13173  PF13635  1.8614253337286648  1
PF01968  PF05378  1.8567409774684118  1
PF07005  PF17042  1.7993970560842545  1
PF04313  PF12161  1.7978293617691854  1
PF01654  PF02322  1.7859705465212286  1
PF00208  PF02812  1.741966011046614   1
PF01087  PF02744  1.7111085752830713  1
PF03788  PF04172  1.704102547307889   0
PF04326  PF13749  1.6994946559827917  1
PF07731  PF07732  1.6734126994089862  1
PF02543  PF16861  1.6655265132175479  1
PF07805  PF13657  1.6477489203975983  1
PF00875  PF03441  1.6470842545348554  1
PF03632  PF03636  1.6326571732534219  1
PF01773  PF07662  1.6167498712827904  1
PF02626  PF02682  1.6127423558498815  1
PF05681  PF05683  1.60930864348274    1
PF05985  PF06751  1.603834251417689   1
PF01385  PF07282  1.5981494005556178  1
PF03313  PF03315  1.5936671120321777  1
PF03591  PF05437  1.5931502164750864  1
PF03894  PF09364  1.5882429809097465  1
PF07804  PF13657  1.5843783740008641  1
PF03241  PF11794  1.5772814776900876  1
PF07508  PF13408  1.5689919039871218  1
PF01228  PF02901  1.5686158666446457  1
PF03171  PF14226  1.5658362027201935  1
PF00908  PF04321  1.560317792726163   1
PF03480  PF04290  1.5534065306819316  0
PF01915  PF14310  1.5418799925298297  1
PF01610  PF14690  1.5383306279114708  1
PF01055  PF13802  1.5181125507835895  1
PF08421  PF08484  1.513410154546718   1
PF01276  PF03711  1.5096860335791158  1
PF02421  PF07664  1.5092641166029357  1
PF00221  PF01175  1.5083814959130728  0
PF01420  PF04313  1.5072371469854409  0
PF00056  PF02866  1.503683912946213   1
PF01867  PF09827  1.4835809234084922  1
PF02669  PF03814  1.4790469031626428  0
PF09371  PF16921  1.474846075525896   1
PF03235  PF07510  1.4747472504266765  1
PF02589  PF11870  1.4643016792280479  1
PF00078  PF08388  1.4584286503847865  1
PF01447  PF02868  1.4570387331158297  1
PF00390  PF03949  1.4563523457163319  1
PF03632  PF03633  1.4514287806274808  1
PF09967  PF13203  1.44679074531352    1
PF04039  PF13244  1.4450351184197188  1
PF06738  PF12821  1.4334745994240574  1
PF03435  PF16653  1.4313102213764948  1
PF04290  PF06808  1.4277215861813568  1
