#dom1	dom2	Meff	DCA_score	dom1_description	dom2_description
PF00510	PF02790	42.82421978549347	.26039770921311395	Cytochrome c oxidase subunit III	Cytochrome C oxidase subunit II, transmembrane domain
PF00033	PF00116	53.29425401505833	.250929350441493	Cytochrome b/b6/petB	Cytochrome C oxidase subunit II, periplasmic domain
PF00032	PF00119	39.01201578453015	.1901807192711002	Cytochrome b(C-terminal)/b6/petD	ATP synthase A chain
PF00032	PF00116	56.431929996525035	.1926035616102731	Cytochrome b(C-terminal)/b6/petD	Cytochrome C oxidase subunit II, periplasmic domain
PF00116	PF00146	44.99461395437563	.17752896927420378	Cytochrome C oxidase subunit II, periplasmic domain	NADH dehydrogenase
PF00499	PF00510	38.07434709156603	.13880460589102483	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	Cytochrome c oxidase subunit III
PF00116	PF00119	46.97209396582713	.1563109742238383	Cytochrome C oxidase subunit II, periplasmic domain	ATP synthase A chain
PF00119	PF02790	33.70097732466836	.19318784111004222	ATP synthase A chain	Cytochrome C oxidase subunit II, transmembrane domain
PF00499	PF02790	36.29021599263229	.1777191939400096	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	Cytochrome C oxidase subunit II, transmembrane domain
PF00146	PF00510	40.66553831983364	.21773701260570555	NADH dehydrogenase	Cytochrome c oxidase subunit III
PF00115	PF00146	41.36024513438181	.19582217105963223	Cytochrome C and Quinol oxidase polypeptide I	NADH dehydrogenase
PF00499	PF00507	40.33297172635058	.1294526110713831	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00146	PF00662	29.019432168852333	.26706524520459135	NADH dehydrogenase	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00507	PF00662	37.92488112210349	.29004900682212426	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00119	PF00420	33.01800386555277	.1598360714103297	ATP synthase A chain	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00033	PF02790	40.42871034659277	.19076164854338554	Cytochrome b/b6/petB	Cytochrome C oxidase subunit II, transmembrane domain
PF00119	PF00507	40.53039955123443	.18387673778061572	ATP synthase A chain	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF02676	PF08608	122.93502786812846	.17759350236963495	Methyltransferase TYW3	Wyosine base formation
PF00032	PF00662	34.297765863432055	.2319966237173071	Cytochrome b(C-terminal)/b6/petD	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00119	PF00510	47.408031579694786	.16001269706914029	ATP synthase A chain	Cytochrome c oxidase subunit III
PF00033	PF00361	44.893405329480785	.1640227357512862	Cytochrome b/b6/petB	Proton-conducting membrane transporter
PF00032	PF00361	28.621874355849602	.2312802870617994	Cytochrome b(C-terminal)/b6/petD	Proton-conducting membrane transporter
PF00115	PF00662	25.367012119548157	.24977438334614277	Cytochrome C and Quinol oxidase polypeptide I	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00033	PF00507	49.58705294695206	.17238005905428533	Cytochrome b/b6/petB	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00032	PF00507	45.76589981714624	.17818235378047276	Cytochrome b(C-terminal)/b6/petD	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00146	PF02790	35.46806444772662	.22088795038715262	NADH dehydrogenase	Cytochrome C oxidase subunit II, transmembrane domain
PF00499	PF06455	31.289326255324372	.1314506601916188	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	NADH dehydrogenase subunit 5 C-terminus
PF00146	PF06455	39.65247479129057	.1703288101074366	NADH dehydrogenase	NADH dehydrogenase subunit 5 C-terminus
PF00507	PF02790	38.68762642616003	.26513039893923673	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	Cytochrome C oxidase subunit II, transmembrane domain
PF09668	PF12009	125.12938728786429	.1661535007135774	Aspartyl protease	Telomerase ribonucleoprotein complex - RNA binding domain
PF00032	PF00420	36.406352343559526	.20590119047369831	Cytochrome b(C-terminal)/b6/petD	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00420	PF02790	28.2541423005278	.21715867573870895	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	Cytochrome C oxidase subunit II, transmembrane domain
PF00146	PF00507	41.74742201113434	.17646112283544652	NADH dehydrogenase	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00119	PF00662	32.62188088626221	.16850251067100386	ATP synthase A chain	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00115	PF00119	39.16818741925415	.17952268775958907	Cytochrome C and Quinol oxidase polypeptide I	ATP synthase A chain
PF00032	PF02790	38.286241448311905	.218995116292863	Cytochrome b(C-terminal)/b6/petD	Cytochrome C oxidase subunit II, transmembrane domain
PF00119	PF00499	32.799405846116436	.13140035040118386	ATP synthase A chain	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00115	PF00507	34.34735233964493	.17549758765561693	Cytochrome C and Quinol oxidase polypeptide I	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00146	PF00420	32.84922723331547	.19648039529618366	NADH dehydrogenase	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00119	PF00361	31.990069985409928	.1606605248906911	ATP synthase A chain	Proton-conducting membrane transporter
PF00420	PF06455	36.44907443347846	.14639453404980857	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	NADH dehydrogenase subunit 5 C-terminus
PF00116	PF00499	47.014955898748305	.16961421772915444	Cytochrome C oxidase subunit II, periplasmic domain	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00033	PF00662	33.29342235122449	.21499974031020688	Cytochrome b/b6/petB	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00037	PF01020	60.228449418726726	.3299808691121834	4Fe-4S binding domain	Ribosomal L40e family
PF00115	PF06455	32.38722697010845	.21147082294402136	Cytochrome C and Quinol oxidase polypeptide I	NADH dehydrogenase subunit 5 C-terminus
PF00037	PF12009	137.1075807529088	.13566143391016947	4Fe-4S binding domain	Telomerase ribonucleoprotein complex - RNA binding domain
PF00507	PF06455	38.30013875013874	.17166690036733487	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	NADH dehydrogenase subunit 5 C-terminus
PF10266	PF14744	-1	-1	Hereditary spastic paraplegia protein strumpellin	WASH complex subunit 7
PF00361	PF02790	32.760113641172	.21530532389823243	Proton-conducting membrane transporter	Cytochrome C oxidase subunit II, transmembrane domain
PF02790	PF06455	33.091385738444565	.14771792390194802	Cytochrome C oxidase subunit II, transmembrane domain	NADH dehydrogenase subunit 5 C-terminus
PF00032	PF00499	38.951880972388345	.1871917766578306	Cytochrome b(C-terminal)/b6/petD	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00116	PF00420	39.2672929975368	.25343552511024214	Cytochrome C oxidase subunit II, periplasmic domain	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF10266	PF14745	-1	-1	Hereditary spastic paraplegia protein strumpellin	WASH complex subunit 7, N-terminal
PF00662	PF02790	30.340850220693085	.34462188732193894	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	Cytochrome C oxidase subunit II, transmembrane domain
PF00510	PF06455	38.47200140330945	.15142551986372998	Cytochrome c oxidase subunit III	NADH dehydrogenase subunit 5 C-terminus
PF00444	PF05051	80.45788861215968	.28237923571774565	Ribosomal protein L36	Cytochrome C oxidase copper chaperone (COX17)
PF07778	PF13092	61.6010075222989	.09542477905891728	Mis6	Kinetochore complex Sim4 subunit Fta1
PF00033	PF00420	40.11790785995895	.1830592325362858	Cytochrome b/b6/petB	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00420	PF00510	39.20705651876956	.14381443128920338	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	Cytochrome c oxidase subunit III
PF05631	PF13383	100.16350316350315	.08135815710689437	Sugar-tranasporters, 12 TM	Methyltransferase domain
PF04135	PF12554	103.83717550152839	.31451970814416635	Nucleolar RNA-binding protein, Nop10p family	Mitotic-spindle organizing gamma-tubulin ring associated
PF01200	PF03604	55.876031358519946	.3346064179436701	Ribosomal protein S28e	DNA directed RNA polymerase, 7 kDa subunit
PF00209	PF00375	152.35100231642923	.0810211875408766	Sodium:neurotransmitter symporter family	Sodium:dicarboxylate symporter family
PF09793	PF14438	108.41451868960867	.16700234022171512	Anticodon-binding domain	Ataxin 2 SM domain
PF00032	PF06455	45.9287278897573	.13876205769446712	Cytochrome b(C-terminal)/b6/petD	NADH dehydrogenase subunit 5 C-terminus
PF00116	PF00662	40.077849057173665	.28182010354697423	Cytochrome C oxidase subunit II, periplasmic domain	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF01020	PF08696	145.75812694796272	.1617746476953152	Ribosomal L40e family	DNA replication factor Dna2
PF02689	PF14291	9.509083480527366	.1851763251320704	Helicase	Domain of unknown function (DUF4371)
PF04406	PF12861	153.59379853238042	.1734268983835422	Type IIB DNA topoisomerase	Anaphase-promoting complex subunit 11 RING-H2 finger
PF00078	PF13606	329.58137974789076	.15135910022832152	Reverse transcriptase (RNA-dependent DNA polymerase)	Ankyrin repeat
PF00115	PF00499	31.595220743166216	.20192833446588704	Cytochrome C and Quinol oxidase polypeptide I	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF03966	PF06842	105.33651735814374	.2383507565267631	Trm112p-like protein	Protein of unknown function (DUF1242)
PF11945	PF14744	62.12314144663015	.1316414981526633	WAHD domain of WASH complex	WASH complex subunit 7
PF01020	PF12009	134.10320403542835	.17835503796550234	Ribosomal L40e family	Telomerase ribonucleoprotein complex - RNA binding domain
PF00033	PF00499	39.16900232397651	.15171441563990856	Cytochrome b/b6/petB	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF04135	PF08571	136.9188239191818	.3217640134576263	Nucleolar RNA-binding protein, Nop10p family	Yos1-like
PF00116	PF06455	44.616577540106945	.16204994932219025	Cytochrome C oxidase subunit II, periplasmic domain	NADH dehydrogenase subunit 5 C-terminus
PF10152	PF14745	50.913115313168724	.15115448484252017	Predicted coiled-coil domain-containing protein (DUF2360)	WASH complex subunit 7, N-terminal
