#dom1	dom2	phyletic_Jij	known_interaction	dom1_description	dom2_description
PF01548  PF02371  2.6187312274589543  1	Transposase	Transposase IS116/IS110/IS902 family
PF13086  PF13087  2.303767536297964   1	AAA domain	AAA domain
PF02558  PF08546  2.162674344760055   1	Ketopantoate reductase PanE/ApbA	Ketopantoate reductase PanE/ApbA C terminal
PF02554  PF13722  2.078142272261818   1	Carbon starvation protein CstA	5TM C-terminal transporter carbon starvation CstA
PF00689  PF00690  2.0254564179459456  1	Cation transporting ATPase, C-terminus	Cation transporter/ATPase, N-terminus
PF08495  PF10442  1.9986774603279809  1	FIST N domain	FIST C domain
PF02550  PF13336  1.9896099686040907  1	Acetyl-CoA hydrolase/transferase N-terminal domain	Acetyl-CoA hydrolase/transferase C-terminal domain
PF01232  PF08125  1.9418554198533882  1	Mannitol dehydrogenase Rossmann domain	Mannitol dehydrogenase C-terminal domain
PF01420  PF12161  1.9041380188907517  1	Type I restriction modification DNA specificity domain	HsdM N-terminal domain
PF07804  PF07805  1.8927991252547405  1	HipA-like C-terminal domain	HipA-like N-terminal domain
PF00199  PF06628  1.874545494227228   1	Catalase	Catalase-related immune-responsive
PF13173  PF13635  1.8614253337286648  1	AAA domain	Domain of unknown function (DUF4143)
PF01968  PF05378  1.8567409774684118  1	Hydantoinase/oxoprolinase	Hydantoinase/oxoprolinase N-terminal region
PF07005  PF17042  1.7993970560842545  1	Putative sugar-binding N-terminal domain	Putative nucleotide-binding of sugar-metabolising enzyme
PF04313  PF12161  1.7978293617691854  1	Type I restriction enzyme R protein N terminus (HSDR_N)	HsdM N-terminal domain
PF01654  PF02322  1.7859705465212286  1	Cytochrome bd terminal oxidase subunit I	Cytochrome bd terminal oxidase subunit II
PF00208  PF02812  1.741966011046614   1	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF01087  PF02744  1.7111085752830713  1	Galactose-1-phosphate uridyl transferase, N-terminal domain	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF03788  PF04172  1.704102547307889   0	LrgA family	LrgB-like family
PF04326  PF13749  1.6994946559827917  1	Putative DNA-binding domain	Putative ATP-dependent DNA helicase recG C-terminal
PF07731  PF07732  1.6734126994089862  1	Multicopper oxidase	Multicopper oxidase
PF02543  PF16861  1.6655265132175479  1	Carbamoyltransferase N-terminus	Carbamoyltransferase C-terminus
PF07805  PF13657  1.6477489203975983  1	HipA-like N-terminal domain	HipA N-terminal domain
PF00875  PF03441  1.6470842545348554  1	DNA photolyase	FAD binding domain of DNA photolyase
PF03632  PF03636  1.6326571732534219  1	Glycosyl hydrolase family 65 central catalytic domain	Glycosyl hydrolase family 65, N-terminal domain
PF01773  PF07662  1.6167498712827904  1	Na+ dependent nucleoside transporter N-terminus	Na+ dependent nucleoside transporter C-terminus
PF02626  PF02682  1.6127423558498815  1	Carboxyltransferase domain, subdomain A and B	Carboxyltransferase domain, subdomain C and D
PF05681  PF05683  1.60930864348274    1	Fumarate hydratase (Fumerase)	Fumarase C-terminus
PF05985  PF06751  1.603834251417689   1	Ethanolamine ammonia-lyase light chain (EutC)	Ethanolamine ammonia lyase large subunit (EutB)
PF01385  PF07282  1.5981494005556178  1	Probable transposase	Putative transposase DNA-binding domain
PF03313  PF03315  1.5936671120321777  1	Serine dehydratase alpha chain	Serine dehydratase beta chain
PF03591  PF05437  1.5931502164750864  1	AzlC protein	Branched-chain amino acid transport protein (AzlD)
PF03894  PF09364  1.5882429809097465  1	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase	XFP N-terminal domain
PF07804  PF13657  1.5843783740008641  1	HipA-like C-terminal domain	HipA N-terminal domain
PF03241  PF11794  1.5772814776900876  1	4-hydroxyphenylacetate 3-hydroxylase C terminal	4-hydroxyphenylacetate 3-hydroxylase N terminal
PF07508  PF13408  1.5689919039871218  1	Recombinase	Recombinase zinc beta ribbon domain
PF01228  PF02901  1.5686158666446457  1	Glycine radical	Pyruvate formate lyase-like
PF03171  PF14226  1.5658362027201935  1	2OG-Fe(II) oxygenase superfamily	non-haem dioxygenase in morphine synthesis N-terminal
PF00908  PF04321  1.560317792726163   1	dTDP-4-dehydrorhamnose 3,5-epimerase	RmlD substrate binding domain
PF03480  PF04290  1.5534065306819316  0	Bacterial extracellular solute-binding protein, family 7	Tripartite ATP-independent periplasmic transporters, DctQ component
PF01915  PF14310  1.5418799925298297  1	Glycosyl hydrolase family 3 C-terminal domain	Fibronectin type III-like domain
PF01610  PF14690  1.5383306279114708  1	Transposase	zinc-finger of transposase IS204/IS1001/IS1096/IS1165
PF01055  PF13802  1.5181125507835895  1	Glycosyl hydrolases family 31	Galactose mutarotase-like
PF08421  PF08484  1.513410154546718   1	Putative zinc binding domain	C-methyltransferase C-terminal domain
PF01276  PF03711  1.5096860335791158  1	Orn/Lys/Arg decarboxylase, major domain	Orn/Lys/Arg decarboxylase, C-terminal domain
PF02421  PF07664  1.5092641166029357  1	Ferrous iron transport protein B	Ferrous iron transport protein B C terminus
PF00221  PF01175  1.5083814959130728  0	Aromatic amino acid lyase	Urocanase
PF01420  PF04313  1.5072371469854409  0	Type I restriction modification DNA specificity domain	Type I restriction enzyme R protein N terminus (HSDR_N)
