#dom1	dom2	phyletic_Jij	known_interaction	dom1_description	dom2_description
PF02558  PF08546  1.9296      1	Ketopantoate reductase PanE/ApbA	Ketopantoate reductase PanE/ApbA C terminal
PF02554  PF13722  1.8775      1	Carbon starvation protein CstA	5TM C-terminal transporter carbon starvation CstA
PF00689  PF00690  1.8547      1	Cation transporting ATPase, C-terminus	Cation transporter/ATPase, N-terminus
PF02550  PF13336  1.7405      1	Acetyl-CoA hydrolase/transferase N-terminal domain	Acetyl-CoA hydrolase/transferase C-terminal domain
PF01232  PF08125  1.6902      1	Mannitol dehydrogenase Rossmann domain	Mannitol dehydrogenase C-terminal domain
PF00199  PF06628  1.6872      1	Catalase	Catalase-related immune-responsive
PF00208  PF02812  1.6563      1	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF01654  PF02322  1.6486      1	Cytochrome bd terminal oxidase subunit I	Cytochrome bd terminal oxidase subunit II
PF03788  PF04172  1.6368      1	LrgA family	LrgB-like family
PF07005  PF17042  1.6022      1	Putative sugar-binding N-terminal domain	Putative nucleotide-binding of sugar-metabolising enzyme
PF00875  PF03441  1.5697      1	DNA photolyase	FAD binding domain of DNA photolyase
PF05681  PF05683  1.5634      1	Fumarate hydratase (Fumerase)	Fumarase C-terminus
PF01773  PF07662  1.5487      1	Na+ dependent nucleoside transporter N-terminus	Na+ dependent nucleoside transporter C-terminus
PF03313  PF03315  1.5346      1	Serine dehydratase alpha chain	Serine dehydratase beta chain
PF05985  PF06751  1.5191      1	Ethanolamine ammonia-lyase light chain (EutC)	Ethanolamine ammonia lyase large subunit (EutB)
PF07804  PF07805  1.507       1	HipA-like C-terminal domain	HipA-like N-terminal domain
PF03591  PF05437  1.5069      1	AzlC protein	Branched-chain amino acid transport protein (AzlD)
PF01055  PF13802  1.5064      1	Glycosyl hydrolases family 31	Galactose mutarotase-like
PF01087  PF02744  1.4989      1	Galactose-1-phosphate uridyl transferase, N-terminal domain	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF01228  PF02901  1.4905      1	Glycine radical	Pyruvate formate lyase-like
PF01915  PF14310  1.4646      1	Glycosyl hydrolase family 3 C-terminal domain	Fibronectin type III-like domain
PF07731  PF07732  1.4573      1	Multicopper oxidase	Multicopper oxidase
PF00908  PF04321  1.4493      1	dTDP-4-dehydrorhamnose 3,5-epimerase	RmlD substrate binding domain
PF00390  PF03949  1.4391      1	Malic enzyme, N-terminal domain	Malic enzyme, NAD binding domain
PF02626  PF02682  1.4374      1	Carboxyltransferase domain, subdomain A and B	Carboxyltransferase domain, subdomain C and D
PF01276  PF03711  1.4283      1	Orn/Lys/Arg decarboxylase, major domain	Orn/Lys/Arg decarboxylase, C-terminal domain
PF06738  PF12821  1.4234      1	Putative threonine/serine exporter	Threonine/Serine exporter, ThrE
PF01262  PF05222  1.4086      1	Alanine dehydrogenase/PNT, C-terminal domain	Alanine dehydrogenase/PNT, N-terminal domain
PF00056  PF02866  1.3983      1	lactate/malate dehydrogenase, NAD binding domain	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF09371  PF16921  1.3973      1	Tex-like protein N-terminal domain	Tex protein YqgF-like domain
PF04313  PF12161  1.3942      1	Type I restriction enzyme R protein N terminus (HSDR_N)	HsdM N-terminal domain
PF07508  PF13408  1.3926      1	Recombinase	Recombinase zinc beta ribbon domain
PF01420  PF12161  1.379       1	Type I restriction modification DNA specificity domain	HsdM N-terminal domain
PF01385  PF07282  1.3748      1	Probable transposase	Putative transposase DNA-binding domain
PF03354  PF04860  1.356       0	Phage Terminase	Phage portal protein
PF02589  PF11870  1.3528      1	LUD domain	Domain of unknown function (DUF3390)
PF00732  PF05199  1.3391      1	GMC oxidoreductase	GMC oxidoreductase
PF03632  PF03636  1.3387      1	Glycosyl hydrolase family 65 central catalytic domain	Glycosyl hydrolase family 65, N-terminal domain
PF13549  PF13607  1.3299      1	ATP-grasp domain	Succinyl-CoA ligase like flavodoxin domain
