#dom1	dom2	Meff	DCA_score	dom1_description	dom2_description
PF03354  PF04860  203.28908669446525  .07333347200430008	Phage Terminase	Phage portal protein
PF02669  PF03814  320.6236915456105   .3667157842539563	K+-transporting ATPase, c chain	Potassium-transporting ATPase A subunit
PF02424  PF04205  457.6270133101557   .16638408768539725	ApbE family	FMN-binding domain
PF00950  PF01297  480.4522127019423   .18134822175164894	ABC 3 transport family	Zinc-uptake complex component A periplasmic
PF04865  PF04965  240.5034924710052   .12362763458444764	Baseplate J-like protein	Gene 25-like lysozyme
PF02669  PF02702  386.368932319689    .1998992568430452	K+-transporting ATPase, c chain	Osmosensitive K+ channel His kinase sensor domain
PF02702  PF03814  285.44674159865707  .16585224395695017	Osmosensitive K+ channel His kinase sensor domain	Potassium-transporting ATPase A subunit
PF05930  PF13356  466.4878175326217   .21480536414886903	Prophage CP4-57 regulatory protein (AlpA)	Domain of unknown function (DUF4102)
PF03972  PF13714  340.14748530214945  .10077197427662596	MmgE/PrpD family	Phosphoenolpyruvate phosphomutase
PF02614  PF03786  272.8342554270813   .12474304626834577	Glucuronate isomerase	D-mannonate dehydratase (UxuA)
PF04293  PF06798  87.48547359864827   .10373482448528097	SpoVR like protein	PrkA serine protein kinase C-terminal domain
PF04293  PF08298  92.2474359298128    .11013510485911812	SpoVR like protein	PrkA AAA domain
PF01924  PF07503  315.0841649010283   .14625626237073378	Hydrogenase formation hypA family	HypF finger
PF00393  PF02781  367.2120213002438   .11701448148333687	6-phosphogluconate dehydrogenase, C-terminal domain	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF00393  PF00479  260.6187783281705   .11973025160335167	6-phosphogluconate dehydrogenase, C-terminal domain	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF04285  PF04293  65.13824775254814   .1168692078834051	Protein of unknown function (DUF444)	SpoVR like protein
PF06508  PF14489  259.401003475052    .18933525753381225	Queuosine biosynthesis protein QueC	QueF-like protein
PF09344  PF09481  126.5895318733554   .07451286021902725	CT1975-like protein	CRISPR-associated protein Cse1 (CRISPR_cse1)
PF04965  PF05638  157.38565561088902  .142720051790035	Gene 25-like lysozyme	Type VI secretion system effector, Hcp
PF09344  PF09485  147.0777888777889   .12466977884570993	CT1975-like protein	CRISPR-associated protein Cse2 (CRISPR_cse2)
PF01729  PF02445  467.5813792871291   .14992823194658628	Quinolinate phosphoribosyl transferase, C-terminal domain	Quinolinate synthetase A protein
PF04865  PF10076  148.4694194694195   .16517066773349093	Baseplate J-like protein	Uncharacterised protein conserved in bacteria (DUF2313)
PF02601  PF02609  784.7577820832827   .21698114582975647	Exonuclease VII, large subunit	Exonuclease VII small subunit
PF08798  PF09481  124.2575295619413   .07588503386422515	CRISPR associated protein	CRISPR-associated protein Cse1 (CRISPR_cse1)
PF01455  PF07503  407.8337758248409   .2654389321902678	HupF/HypC family	HypF finger
PF00374  PF01924  138.83913857275712  .10174937631975567	Nickel-dependent hydrogenase	Hydrogenase formation hypA family
PF08798  PF09485  125.12941036861314  .10180259408794795	CRISPR associated protein	CRISPR-associated protein Cse2 (CRISPR_cse2)
PF02445  PF02749  448.747978065555    .16986029485165516	Quinolinate synthetase A protein	Quinolinate phosphoribosyl transferase, N-terminal domain
PF01242  PF06508  335.01362972638594  .13706710277522186	6-pyruvoyl tetrahydropterin synthase	Queuosine biosynthesis protein QueC
PF02609  PF13742  615.725540602599    .20521352367277962	Exonuclease VII small subunit	OB-fold nucleic acid binding domain
PF06750  PF07963  680.9420475984343   .2564891884259795	Bacterial Peptidase A24 N-terminal domain	Prokaryotic N-terminal methylation motif
PF03239  PF13473  150.64080055773675  .10578278391132384	Iron permease FTR1 family	Cupredoxin-like domain
PF06968  PF13500  373.54581780450076  .13073109502452013	Biotin and Thiamin Synthesis associated domain	AAA domain
PF03239  PF09375  171.34499787994423  .08301888074372275	Iron permease FTR1 family	Imelysin
PF07012  PF10614  58.70972360972361   .18480139666417628	Curlin associated repeat	Type VIII secretion system (T8SS), CsgF protein
PF05157  PF06750  496.4966238714099   .20438471693799704	Type II secretion system (T2SS), protein E, N-terminal domain	Bacterial Peptidase A24 N-terminal domain
PF11739  PF13617  71.10333697953662   .16946653851554777	Dicarboxylate transport	YnbE-like lipoprotein
PF00665  PF01527  503.57332868934213  .13829308442203622	Integrase core domain	Transposase
