#dom1	dom2	Phyletic_Jij	dom1_description	dom2_description
PF00303	PF02511	-0.9978	Thymidylate synthase	Thymidylate synthase complementing protein
PF01220	PF01487	-0.9277	Dehydroquinase class II	Type I 3-dehydroquinase
PF02834	PF13563	-0.9075	LigT like Phosphoesterase	2'-5' RNA ligase superfamily
PF00406	PF13207	-0.8258	Adenylate kinase	AAA domain
PF01205	PF02594	-0.7077	Uncharacterized protein family UPF0029	Uncharacterised ACR, YggU family COG1872
PF13623	PF13624	-0.7051	SurA N-terminal domain	SurA N-terminal domain
PF04816	PF12847	-0.6316	tRNA (adenine(22)-N(1))-methyltransferase	Methyltransferase domain
PF00636	PF14622	-0.6281	Ribonuclease III domain	Ribonuclease-III-like
PF00186	PF02511	-0.6281	Dihydrofolate reductase	Thymidylate synthase complementing protein
PF01227	PF02649	-0.6118	GTP cyclohydrolase I	Type I GTP cyclohydrolase folE2
PF06745	PF13481	-0.5844	KaiC	AAA domain
PF02677	PF08331	-0.5810	Uncharacterized BCR, COG1636	Domain of unknown function (DUF1730)
PF02696	PF03190	-0.5651	Uncharacterized ACR, YdiU/UPF0061 family	Protein of unknown function, DUF255
PF00311	PF02436	-0.5432	Phosphoenolpyruvate carboxylase	Conserved carboxylase domain
PF02502	PF06026	-0.5371	Ribose/Galactose Isomerase	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF00245	PF05787	-0.5333	Alkaline phosphatase	Bacterial protein of unknown function (DUF839)
PF00075	PF13456	-0.5317	RNase H	Reverse transcriptase-like
PF01169	PF02659	-0.5294	Uncharacterized protein family UPF0016	Putative manganese efflux pump
PF01321	PF05195	-0.5165	Creatinase/Prolidase N-terminal domain	Aminopeptidase P, N-terminal domain
PF02594	PF09186	-0.5139	Uncharacterised ACR, YggU family COG1872	Domain of unknown function (DUF1949)
PF02595	PF13660	-0.5071	Glycerate kinase family	Domain of unknown function (DUF4147)
PF02595	PF05161	-0.4983	Glycerate kinase family	MOFRL family
PF00491	PF04371	-0.4956	Arginase family	Porphyromonas-type peptidyl-arginine deiminase
